Ball,Runs,Commentary
6.1,•,"L Malinga to H Amla, no run, 134.9 km/h short length just outside off stump."
37.2,4,"NTLC Perera to F du Plessis, FOUR, 122.6 km/h full toss going down leg."
37.1,1,"NTLC Perera to H Amla, one run, 121.6 km/h short length on middle stump."
36.6,•,"I Udana to F du Plessis, no run, 116.3 km/h full length outside off stump."
36.5,1,"I Udana to H Amla, one run, 119.2 km/h short length outside off stump."
36.4,•,"I Udana to H Amla, no run, 135.4 km/h full length just outside off stump."
36.3,•,"I Udana to H Amla, no run, 121.6 km/h good length outside off stump."
36.2,2,"I Udana to H Amla, two runs, 128.1 km/h short length on middle stump."
36.1,2,"I Udana to H Amla, two runs, 129.6 km/h good length outside off stump."
35.6,•,"L Malinga to F du Plessis, no run, 126.7 km/h full length just outside off stump."
35.5,•,"L Malinga to F du Plessis, no run, 114.2 km/h full length just outside off stump."
35.4,•,"L Malinga to F du Plessis, no run, 132.5 km/h full length just outside off stump."
35.3,4,"L Malinga to F du Plessis, FOUR, 130.2 km/h full length on off stump."
35.2,•,"L Malinga to F du Plessis, no run, 129.1 km/h full length going down leg."
35.1,1,"L Malinga to H Amla, one run, 132.3 km/h full length going down leg."
34.6,4,"I Udana to F du Plessis, FOUR, 133.1 km/h full length on off stump."
34.5,•,"I Udana to F du Plessis, no run, 121.2 km/h short length outside off stump."
34.4,1,"I Udana to H Amla, one run, 127.9 km/h short length on middle stump."
34.3,•,"I Udana to H Amla, no run, 129.5 km/h good length outside off stump."
34.2,1,"I Udana to F du Plessis, one run, 103.4 km/h good length on middle stump."
34.1,•,"I Udana to F du Plessis, no run, 127.5 km/h good length just outside off stump."
33.6,1,"L Malinga to F du Plessis, one run, 132.6 km/h full length outside off stump."
33.5,4,"L Malinga to F du Plessis, FOUR, 128.2 km/h full toss going down leg."
33.4,•,"L Malinga to F du Plessis, no run, 127.8 km/h full length on leg stump."
33.3,1,"L Malinga to H Amla, one run, 125.5 km/h short length on off stump."
33.2,•,"L Malinga to H Amla, no run, 128.5 km/h full length just outside off stump."
33.1,1,"L Malinga to F du Plessis, one run, 123.2 km/h full toss going down leg."
32.6,1,"J Mendis to F du Plessis, one run, 73.9 km/h good length just outside off stump."
32.5,4,"J Mendis to F du Plessis, FOUR."
32.4,1,"J Mendis to H Amla, one run, 77.3 km/h full length on leg stump."
32.3,1,"J Mendis to F du Plessis, one run, 80.1 km/h good length just outside off stump."
32.2,1,"J Mendis to H Amla, one run, 75.5 km/h good length on leg stump."
32.1,1,"J Mendis to F du Plessis, one run, 80.9 km/h short length on middle stump."
31.6,•,"NTLC Perera to H Amla, no run, 123.3 km/h full length just outside off stump."
31.5,1,"NTLC Perera to F du Plessis, one run."
31.4,•,"NTLC Perera to F du Plessis, no run, 117.0 km/h good length just outside off stump."
31.3,1,"NTLC Perera to H Amla, one run, 125.7 km/h good length outside off stump."
31.2,•,"NTLC Perera to H Amla, no run, 119.6 km/h good length on off stump."
31.1,1,"NTLC Perera to F du Plessis, one run, 122.3 km/h good length outside off stump."
30.6,•,"J Mendis to H Amla, no run."
30.5,•,"J Mendis to H Amla, no run, 77.9 km/h full length going down leg."
30.4,•,"J Mendis to H Amla, no run, 71.5 km/h good length on off stump."
30.3,1,"J Mendis to F du Plessis, one run, 76.4 km/h good length outside off stump."
30.2,2,"J Mendis to F du Plessis, two runs, 82.5 km/h short length outside off stump."
30.2,1Wd,"J Mendis to F du Plessis, wide delivery."
30.1,3,"J Mendis to H Amla, three runs, 75.6 km/h good length just outside off stump."
29.6,1,"NTLC Perera to H Amla, one run, 121.1 km/h short length outside off stump."
29.5,1,"NTLC Perera to F du Plessis, one run, 122.6 km/h short length on off stump."
29.4,1,"NTLC Perera to H Amla, one run, 120.0 km/h short length just outside off stump."
29.3,1,"NTLC Perera to F du Plessis, one run, 122.7 km/h short length just outside off stump."
29.2,•,"NTLC Perera to F du Plessis, no run, 117.2 km/h good length just outside off stump."
29.1,1,"NTLC Perera to H Amla, one run, 120.6 km/h short length on middle stump."
28.6,1,"J Mendis to H Amla, one run, 74.9 km/h full length just outside off stump."
28.5,•,"J Mendis to H Amla, no run, 72.3 km/h good length just outside off stump."
28.4,1,"J Mendis to F du Plessis, one run, 80.4 km/h good length outside off stump."
